Sat, 23 Nov 2019 14:35:21 mfemail.py[line:25] INFO open browser
Mon, 25 Nov 2019 10:17:55 main.py[line:29] INFO open browser
Mon, 25 Nov 2019 10:17:55 main.py[line:31] INFO input content:python
Mon, 25 Nov 2019 10:17:55 main.py[line:33] INFO click
Mon, 25 Nov 2019 10:18:00 main.py[line:35] INFO wait for 5 seconds
Mon, 25 Nov 2019 10:18:57 main.py[line:29] INFO open browser
Mon, 25 Nov 2019 10:18:57 main.py[line:31] INFO input content:python
Mon, 25 Nov 2019 10:18:57 main.py[line:33] INFO click
Mon, 25 Nov 2019 10:19:02 main.py[line:35] INFO wait for 5 seconds
Mon, 25 Nov 2019 10:19:03 main.py[line:37] INFO close browser
Mon, 25 Nov 2019 14:53:20 main.py[line:34] INFO open browser
Mon, 25 Nov 2019 14:53:20 main.py[line:36] INFO input content:python
Mon, 25 Nov 2019 14:53:20 main.py[line:38] INFO click
Mon, 25 Nov 2019 14:53:25 main.py[line:40] INFO wait for 5 seconds
Mon, 25 Nov 2019 14:53:26 main.py[line:42] INFO close browser
Mon, 25 Nov 2019 14:53:26 main.py[line:43] INFO ===============================================
Mon, 25 Nov 2019 18:29:33 test_case.py[line:24] INFO open browser
Mon, 25 Nov 2019 18:29:33 test_case.py[line:26] INFO input content:python
Mon, 25 Nov 2019 18:29:33 test_case.py[line:28] INFO click
Mon, 25 Nov 2019 18:29:38 test_case.py[line:30] INFO wait for 5 seconds
Mon, 25 Nov 2019 18:29:39 test_case.py[line:32] INFO close browser
Mon, 25 Nov 2019 18:29:39 test_case.py[line:33] INFO ===============================================
Mon, 25 Nov 2019 18:32:16 test_case.py[line:24] INFO open browser
Mon, 25 Nov 2019 18:32:16 test_case.py[line:26] INFO input content:python
Mon, 25 Nov 2019 18:32:16 test_case.py[line:28] INFO click
Mon, 25 Nov 2019 18:32:21 test_case.py[line:30] INFO wait for 5 seconds
Mon, 25 Nov 2019 18:32:22 test_case.py[line:32] INFO close browser
Mon, 25 Nov 2019 18:32:22 test_case.py[line:33] INFO ===============================================
Mon, 25 Nov 2019 18:36:58 mf_email.py[line:9] INFO open browser
Mon, 25 Nov 2019 18:50:31 locate_id.py[line:19] INFO test pass: ID found
Mon, 25 Nov 2019 18:51:50 locate_id.py[line:19] INFO test pass: ID found
Mon, 25 Nov 2019 18:51:50 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 18:52:16 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:02:41 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:03:11 mf_testtools.py[line:45] INFO Exception found Message: Unable to locate element: [id="s"]

Mon, 25 Nov 2019 19:03:12 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:04:02 mf_testtools.py[line:45] ERROR Exception found Message: Unable to locate element: [id="s"]

Mon, 25 Nov 2019 19:04:03 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:09:38 mf_testtools.py[line:43] INFO test pass: ID found
Mon, 25 Nov 2019 19:09:39 mf_init_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:22:10 mf_testtools.py[line:58] ERROR Message: Unable to locate element: from

Mon, 25 Nov 2019 19:25:35 mf_testtools.py[line:60] ERROR Message: Unable to locate element: from

Mon, 25 Nov 2019 19:26:24 mf_testtools.py[line:58] INFO test pass: tag name found
Mon, 25 Nov 2019 19:31:59 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:35:00 mf_testtools.py[line:59] INFO test pass: tag name form found
Mon, 25 Nov 2019 19:35:01 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:35:37 mf_testtools.py[line:59] INFO test pass: tag name form found
Mon, 25 Nov 2019 19:35:38 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:36:57 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 19:36:58 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:39:47 mf_testtools.py[line:72] ERROR Message: Unable to locate element: form

Mon, 25 Nov 2019 19:39:48 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:40:22 mf_testtools.py[line:70] INFO test pass: tag name "–¬Œ≈" found
Mon, 25 Nov 2019 19:40:22 mf_log.py[line:20] INFO ================================================
Mon, 25 Nov 2019 19:42:58 mf_testtools.py[line:70] INFO test pass: tag name "–¬Œ≈" found
Mon, 25 Nov 2019 19:42:59 mf_log.py[line:22] INFO ================================================
Mon, 25 Nov 2019 19:45:35 mf_testtools.py[line:70] INFO test pass: tag name "–¬Œ≈" found
Mon, 25 Nov 2019 19:45:36 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:53:27 mf_testtools.py[line:70] INFO test pass: tag name "–¬Œ≈" found
Mon, 25 Nov 2019 19:53:28 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:54:53 mf_testtools.py[line:70] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 19:54:54 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:55:38 mf_testtools.py[line:71] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 19:55:39 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:56:26 mf_testtools.py[line:71] INFO b'test pass: link text "\xe6\x96\xb0\xe9\x97\xbb" found'
Mon, 25 Nov 2019 19:56:27 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:56:59 mf_testtools.py[line:71] INFO b'test pass: link text "\xe6\x96\xb0\xe9\x97\xbb" found'
Mon, 25 Nov 2019 19:57:02 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 19:59:47 mf_testtools.py[line:73] ERROR unknown encoding: 
Mon, 25 Nov 2019 19:59:48 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:01:17 mf_testtools.py[line:71] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 20:01:18 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:02:07 mf_testtools.py[line:71] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:02:08 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:05:38 mf_testtools.py[line:71] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 20:05:39 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:13:50 mf_testtools.py[line:71] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 20:13:52 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:14:17 mf_testtools.py[line:71] INFO test pass: link text "–¬Œ≈" found
Mon, 25 Nov 2019 20:14:18 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:18:47 mf_testtools.py[line:71] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:18:49 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:44:13 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:44:13 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:45:09 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:45:32 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:45:32 mf_testtools.py[line:81] INFO test pass: link text "‰∏ªÈ°µ" found
Mon, 25 Nov 2019 20:45:33 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:45:51 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:45:51 mf_testtools.py[line:81] INFO test pass: link text "‰∏ªÈ°µ" found
Mon, 25 Nov 2019 20:45:52 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:47:58 mf_testtools.py[line:81] INFO test pass: link text "‰∏ªÈ°µ" found
Mon, 25 Nov 2019 20:47:59 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:82] INFO test pass: element by partial link text "‰∏ªÈ°µ" found 
Mon, 25 Nov 2019 20:51:52 mf_testtools.py[line:93] INFO test pass: element by partial link text "s_ipt" found 
Mon, 25 Nov 2019 20:51:53 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:82] INFO test pass: element by partial link text "‰∏ªÈ°µ" found 
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
Mon, 25 Nov 2019 20:55:40 mf_testtools.py[line:104] INFO test pass: element by name "wd" found 
Mon, 25 Nov 2019 20:55:41 mf_log.py[line:23] INFO ================================================
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:49] INFO test pass: ID "su" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:59] INFO test pass: tag name "form" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:70] INFO test pass: link text "Êñ∞Èóª" found
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:82] INFO test pass: element by partial link text "‰∏ªÈ°µ" found 
Mon, 25 Nov 2019 20:57:40 mf_testtools.py[line:93] INFO test pass: element by class name "s_ipt" found 
